number,Cp,k,l,m,n
1,18.63,1,2,2,1
2,-21.19,3,2,2,1
3,-8.48,1,1,3,1
4,9.68,4,2,2,1
5,6.02,1,2,4,1
6,-6.00,1,3,2,1
7,7.11,3,3,2,1
8,-6.22,5,2,2,1
9,-5.88,3,2,4,1
10,3.87,1,4,3,1
11,3.83,4,1,3,1
12,2.28,1,2,1,1
13,-4.36,4,3,2,1
14,-2.91,5,1,3,1
15,-2.86,2,2,1,1
16,3.68,2,3,2,1
17,-1.21,1,1,1,1
18,3.09,6,2,2,1
19,-2.16,3,1,3,1
20,1.52,6,1,1,1
21,-1.44,1,1,2,1
22,-2.03,3,4,1,1
23,-2.72,2,4,3,1
24,1.86,6,1,3,1
25,-1.82,1,3,4,1
26,1.72,2,1,3,1
27,1.21,1,4,1,1
28,-1.66,2,1,2,1
29,1.64,9,1,3,1
30,1.62,4,1,5,1
31,-1.54,2,1,5,1
32,-2.13,5,2,4,1
33,-2.09,3,4,3,1
34,2.05,3,3,4,1
35,-1.45,1,5,3,1
36,-0.99,8,1,1,1
37,-0.99,1,1,4,1
38,1.36,4,4,1,1
39,-1.84,2,2,2,1
40,1.84,4,2,4,1
41,1.79,2,5,3,1
42,-1.66,6,3,2,1
43,1.07,4,1,2,1
44,-1.50,3,2,3,1
45,0.74,4,1,1,1
46,1.43,4,4,3,1
47,-1.01,4,5,1,1
48,1.41,3,2,6,1
49,0.95,11,1,3,1
50,0.92,1,2,3,1
51,1.28,1,2,10,5
52,0.90,1,4,5,1
53,0.86,8,1,3,1
54,0.85,7,1,3,1
55,-0.60,1,1,5,1
56,1.16,5,3,2,1
57,-0.79,2,1,4,1
58,1.11,6,2,4,1
59,-1.09,2,2,4,1
60,1.09,2,4,4,1
61,-1.07,4,3,4,1
62,1.07,2,3,3,1
63,-1.07,4,2,3,1
64,-1.04,4,2,6,1
65,0.70,3,5,1,1
66,-0.99,8,2,2,1
67,-0.98,2,4,5,1
68,-0.68,1,5,2,1
69,0.65,1,6,4,1
70,0.91,2,2,3,1
71,-1.25,3,2,10,5
72,-0.86,4,5,3,1
73,0.42,1,6,1,1
74,-0.42,1,1,6,1
75,-0.59,1,4,4,1
76,-0.58,1,4,2,1
77,-0.82,10,2,2,1
78,-0.81,2,6,4,1
79,-0.80,3,1,2,3
80,-0.79,1,2,2,5
81,0.78,2,3,4,1
82,0.55,5,1,2,1
83,0.54,4,1,4,1
84,0.75,2,4,6,1
85,-0.53,2,6,1,1
86,0.52,1,1,2,3
87,-0.71,2,2,6,1
88,-0.35,7,1,1,1
89,-0.35,9,1,1,1
90,0.49,1,2,8,1
91,0.48,2,3,1,1
92,0.48,1,1,10,5
93,-0.68,4,3,3,1
94,0.32,1,1,7,1
95,-0.63,5,4,5,1
96,-0.87,4,2,2,3
97,-0.62,6,3,4,1
98,-0.44,1,5,5,1
99,0.61,4,4,5,1
100,0.86,3,2,2,2
101,-0.43,8,4,1,1
102,-0.59,2,7,3,1
103,-0.58,2,2,8,1
104,0.40,5,1,1,2
105,0.40,1,1,9,5
106,0.57,5,5,3,1
107,0.56,3,5,5,1
108,-0.53,1,2,4,5
109,0.75,2,2,2,3
110,0.37,9,4,1,1
