number,Ct,k,l,m,n
1,-48.14,1,1,1,1
2,-23.20,3,1,1,1
3,22.88,2,1,1,1
4,18.26,5,1,1,1
5,17.06,2,2,2,1
6,7.29,6,1,1,1
7,7.26,4,1,1,1
8,5.69,9,1,1,1
9,5.31,7,1,1,1
10,-6.27,6,1,3,1
11,-8.47,3,2,2,1
12,-5.19,3,1,3,1
13,-4.59,8,1,3,1
14,6.30,3,3,2,1
15,2.98,11,1,1,1
16,2.88,8,1,1,1
17,-5.55,6,2,2,1
18,5.36,7,2,2,1
19,-5.04,2,3,2,1
20,4.73,5,2,2,1
21,4.61,2,2,4,1
22,-2.92,2,1,3,1
23,-2.88,5,1,3,1
24,3.56,4,3,2,1
25,-3.50,8,2,2,1
26,-3.08,4,2,2,1
27,-2.81,7,3,2,1
28,2.78,9,2,2,1
29,1.90,13,1,3,1
30,-1.89,3,1,2,1
31,-1.86,3,1,5,1
32,-2.58,6,2,4,1
33,1.22,13,1,1,1
34,1.69,11,1,3,1
35,1.66,5,1,5,1
36,-1.08,1,1,3,1
37,1.40,1,4,3,1
38,1.37,15,1,3,1
39,0.92,15,1,1,1
40,-1.82,5,2,3,1
41,-1.82,8,2,4,1
42,0.91,10,1,1,1
43,-1.78,2,3,4,1
44,0.83,17,1,1,1
45,0.82,19,1,1,1
46,-1.14,3,1,4,1
47,-1.13,5,2,1,1
48,1.58,5,4,3,1
49,-1.10,2,1,2,1
50,-1.09,2,1,5,1
51,-1.52,5,2,6,1
52,0.75,1,4,1,1
53,1.48,8,3,2,1
54,1.47,3,3,4,1
55,1.45,3,2,3,1
56,1.40,3,2,6,1
57,-1.38,6,2,3,1
58,1.38,4,3,4,1
59,0.97,5,4,1,1
60,0.67,1,1,5,1
61,-1.30,3,2,4,1
62,-0.91,4,2,1,1
63,-1.28,5,3,2,1
64,-1.28,10,2,2,1
65,-1.23,3,4,3,1
66,0.86,6,5,1,1
67,0.61,21,1,1,1
68,1.21,3,3,3,1
69,-0.85,1,5,3,1
70,1.19,11,2,2,1
71,-1.18,4,4,3,1
72,-0.83,5,5,1,1
73,1.16,2,2,3,1
74,0.82,6,1,4,1
75,1.12,2,5,3,1
76,0.79,6,1,2,1
77,1.07,4,3,3,1
78,1.03,9,2,4,1
79,0.72,14,1,3,1
80,-1.02,4,2,3,1
81,-0.71,10,1,5,1
82,-0.71,20,1,3,1
83,0.49,29,1,1,1
84,-0.95,9,3,2,1
85,-0.95,7,3,4,1
86,0.67,12,1,3,1
87,0.93,5,4,2,1
88,0.92,4,2,6,1
89,-0.65,12,1,5,1
90,-0.64,4,1,4,1
91,-0.64,4,1,2,1
92,0.45,31,1,1,1
93,1.26,3,2,2,3
94,-0.89,6,2,5,1
95,-0.87,6,3,3,1
96,0.43,33,1,1,1
97,-0.87,4,2,4,1
98,-0.59,1,3,2,1
99,0.59,5,1,2,1
100,0.57,4,3,1,1
101,0.57,17,1,3,1
102,-0.57,4,1,6,1
103,-0.79,2,2,6,1
104,0.78,4,6,2,1
105,-0.55,10,1,3,1
106,0.77,3,3,5,1
107,0.54,2,5,1,1
108,0.38,27,1,1,1
109,-1.08,6,2,2,2
110,0.54,6,1,7,1
111,0.53,7,4,1,1
112,-0.52,3,1,1,3
113,-0.52,4,4,1,1
114,-0.74,4,5,3,1
115,-0.74,4,7,4,1
116,-0.52,8,2,1,1
117,-0.52,4,1,3,1
118,-0.52,18,1,3,1
119,-0.73,7,3,3,1
120,-0.72,3,1,3,3
121,0.51,6,1,1,2
122,-0.71,7,2,3,1
123,0.71,6,5,2,1
124,-0.50,2,1,4,1
125,0.49,7,1,2,1
126,0.34,23,1,1,1
127,0.47,1,4,5,1
128,0.66,3,4,6,1
129,0.65,6,5,3,1
130,0.33,1,1,2,1
131,0.64,7,2,4,1
132,0.23,35,1,1,1
133,0.64,4,2,5,1
134,0.31,1,2,1,1
135,-0.62,9,4,3,1
136,-0.62,5,1,2,2
137,-0.44,3,4,1,1
138,0.62,4,4,2,1
139,-0.62,5,2,4,1
140,-0.61,9,3,4,1
141,0.61,13,2,2,1
142,-0.43,3,1,6,1
143,-0.61,3,5,5,1
144,0.60,3,2,5,1
145,-0.43,22,1,3,1
146,-0.60,5,5,3,1
147,0.30,1,1,1,3
148,-0.30,1,5,1,1
149,-0.42,9,4,1,1
150,-0.84,5,2,2,2
151,-0.42,7,1,3,1
152,-0.58,6,5,5,1
153,-0.58,3,4,5,1
154,-0.58,6,1,2,2
155,0.40,8,1,5,1
156,0.56,11,2,4,1
157,0.56,6,1,3,2
158,-0.39,1,3,3,1
159,-0.55,4,1,2,3
160,-0.54,7,4,2,1
161,-0.38,14,1,5,1
162,0.54,4,4,5,1
163,-0.54,6,4,2,1
164,-0.53,12,2,2,1
165,0.53,8,5,3,1
166,-0.53,4,7,6,1
167,-0.36,7,3,1,1
168,0.51,5,5,2,1
169,0.51,3,4,4,1
170,-0.26,1,1,1,2
171,-0.36,6,3,1,1
172,-0.51,4,5,2,1
173,0.25,25,1,1,1
174,0.49,6,4,7,1
175,-0.34,4,1,5,1
176,0.48,6,3,2,1
177,0.48,19,2,2,1
178,-0.48,7,2,6,1
179,0.48,10,3,2,1
180,0.34,19,1,5,1
181,-0.34,1,4,4,1
182,0.48,7,4,3,1
183,-0.47,8,3,3,1
184,-0.47,14,2,2,1
185,-0.47,16,2,2,1
186,0.33,7,1,5,1
187,0.23,1,1,4,1
188,-0.23,24,1,1,1
189,0.33,5,1,1,2
190,0.46,5,1,3,2
191,0.65,6,2,6,2
192,0.23,12,1,1,1
193,-0.33,6,4,1,1
194,-0.32,4,1,1,2
195,0.45,4,5,7,1
196,-0.45,3,5,2,1
197,0.45,3,1,7,3
198,-0.44,3,6,4,1
199,0.44,4,1,5,3
200,-0.44,5,3,3,1
201,-0.44,6,4,5,1
202,0.31,7,6,1,1
203,-0.43,1,2,2,3
