number,Cwm,k,l,m,n
1,2.59,3,2,2,2
2,1.70,3,1,2,2
3,1.12,1,1,3,2
4,-1.54,3,1,3,2
5,-2.10,3,2,3,2
6,-1.47,3,1,2,3
7,-1.47,1,2,2,2
8,-1.03,3,1,1,2
9,1.44,5,1,2,3
10,1.33,3,1,4,2
11,0.66,1,1,1,2
12,-1.33,6,1,2,2
13,1.23,3,2,1,3
14,-0.83,1,1,2,2
15,1.15,4,1,2,2
16,1.09,1,2,3,2
17,-1.01,1,2,4,2
18,1.35,3,2,4,2
19,-0.88,5,2,1,3
20,-0.60,1,1,4,2
21,0.60,3,1,1,4
22,1.19,4,2,2,3
23,0.83,1,2,2,4
24,1.17,3,2,3,3
25,-0.81,3,1,2,4
26,0.81,1,3,2,2
27,-0.40,1,1,1,4
28,-1.12,5,2,2,2
29,-0.78,4,2,1,2
30,-1.09,3,2,2,4
31,1.08,6,2,3,2
32,0.75,1,2,5,2
33,0.75,6,2,1,2
34,-0.75,5,1,2,2
35,-0.53,4,1,1,3
36,-0.52,1,4,1,4
37,1.03,3,3,2,3
38,-0.50,1,2,1,3
39,-0.71,3,2,1,2
40,-0.99,6,2,2,2
41,-0.98,3,2,5,2
42,-0.98,5,2,3,3
43,-0.47,1,1,7,2
44,-0.67,1,3,2,3
45,0.67,1,5,2,2
46,-0.94,3,3,2,2
47,-0.65,4,1,3,3
48,0.44,1,3,1,3
49,0.87,5,2,3,2
50,-0.61,5,1,4,2
51,-0.60,6,1,4,2
52,0.43,5,1,1,2
53,-0.83,3,5,2,2
54,-0.59,1,3,3,2
55,-0.58,2,1,2,3
56,-0.81,4,2,3,2
57,-0.57,3,1,4,3
58,0.57,3,4,1,4
59,0.56,1,6,2,4
60,0.56,3,1,6,3
61,0.55,4,1,2,3
62,-0.77,2,2,2,3
63,0.77,3,3,3,2
64,0.54,1,3,3,3
65,-0.38,1,1,6,3
66,0.54,9,1,2,2
67,-0.76,4,2,3,3
68,0.38,1,1,2,3
69,0.53,3,1,7,2
70,0.38,1,7,1,5
71,-0.52,3,1,16,2
72,-0.51,3,1,8,2
73,0.73,3,2,3,4
74,0.73,4,3,3,3
75,-0.51,3,1,12,2
76,0.51,1,2,2,5
77,0.51,6,1,2,4
78,-0.51,7,1,2,2
79,-0.51,3,1,10,2
80,0.51,3,2,1,4
81,-0.50,3,1,14,2
82,-0.50,3,1,18,2
83,-0.49,3,2,1,5
84,0.48,5,1,3,2
85,0.48,2,2,1,3
86,-0.48,4,1,6,2
87,0.48,4,1,4,3
88,0.47,4,3,1,3
89,-0.47,1,2,3,3
90,0.47,1,5,4,2
91,-0.46,3,7,1,5
92,-0.64,3,6,2,4
93,-0.46,2,2,1,5
94,0.46,1,3,4,2
95,-0.23,1,1,1,3
96,0.44,10,1,2,2
97,0.44,5,2,1,2
98,0.31,1,1,18,2
99,-0.44,2,1,4,3
100,0.62,3,2,7,2
101,-0.43,1,6,2,5
102,0.31,1,1,5,3
103,-0.61,4,5,2,3
104,-0.61,3,2,2,3
105,0.61,5,2,2,3
106,-0.31,1,1,6,2
107,0.30,1,1,14,2
108,0.30,1,1,16,2
109,0.60,3,2,15,2
110,-0.42,4,2,1,3
111,-0.30,1,1,9,2
112,0.59,2,2,3,3
113,0.29,1,1,12,2
114,0.42,1,5,3,3
115,-0.59,3,2,10,2
116,-0.59,3,5,4,2
117,-0.59,3,6,4,3
118,-0.58,3,2,16,2
119,-0.58,3,2,14,2
120,0.58,3,2,17,2
121,0.58,3,2,11,2
122,0.41,1,6,4,3
123,-0.58,3,2,18,2
124,-0.29,1,2,1,4
125,-0.29,6,1,1,4
126,0.40,3,1,13,2
127,0.57,3,2,6,4
128,0.40,3,1,15,2
129,-0.57,3,2,12,2
130,0.57,3,2,13,2
131,0.40,3,1,11,2
132,0.28,1,1,10,2
133,0.40,3,1,17,2
134,0.28,1,1,4,3
135,-0.56,3,2,8,2
136,-0.56,4,6,2,3
137,0.56,3,2,9,2
138,0.56,3,7,2,2
139,0.28,2,1,1,4
140,0.28,1,2,1,2
141,0.55,6,2,2,4
142,-0.39,1,7,2,2
143,-0.38,6,2,1,4
144,-0.27,1,1,17,2
145,0.27,1,7,1,4
146,-0.38,9,1,2,3
147,-0.27,1,3,1,2
148,-0.27,2,1,1,5
149,0.38,3,3,1,2
150,-0.37,4,1,2,4
151,-0.37,1,2,4,3
152,0.37,3,1,3,4
153,0.37,1,2,8,2
154,0.26,1,1,7,3
155,0.26,1,1,5,4
156,-0.26,1,1,15,2
157,0.36,1,2,18,2
158,-0.36,2,1,3,2
159,0.36,3,1,9,2
160,0.36,1,4,5,4
161,0.51,4,5,2,2
162,-0.25,1,1,11,2
163,-0.36,1,4,3,4
164,-0.36,1,4,2,5
165,0.50,3,4,3,4
166,-0.50,5,2,2,5
167,-0.25,1,1,13,2
168,-0.35,3,3,1,3
169,0.35,1,2,12,2
170,0.25,6,1,1,3
171,0.35,1,2,16,2
172,-0.50,4,3,3,2
173,0.35,1,7,2,5
174,-0.35,1,2,6,3
175,-0.49,3,3,4,2
176,0.35,1,2,10,2
177,0.35,1,2,14,2
178,-0.49,3,2,6,2
179,-0.34,1,2,13,2
180,-0.34,1,2,17,2
181,0.24,1,1,8,2
182,-0.48,3,6,2,3
183,0.34,1,2,6,2
184,0.48,3,6,2,5
185,-0.34,5,1,2,5
186,-0.34,1,5,3,2
187,0.34,6,1,8,2
188,-0.34,1,2,6,4
189,-0.34,5,4,1,3
190,0.34,4,1,4,2
191,0.34,4,7,1,4
192,-0.33,1,2,15,2
193,-0.33,1,6,6,4
194,0.24,6,1,1,2
195,-0.47,6,2,3,4
196,0.47,3,5,3,2
197,-0.33,13,1,2,2
198,-0.33,1,4,2,3
199,0.33,4,1,3,2
200,0.33,5,1,4,3
201,-0.33,1,2,3,4
202,-0.46,3,2,7,3
203,-0.33,1,2,11,2
204,0.46,2,5,2,3
205,0.46,9,2,2,2
206,-0.33,8,1,2,3
207,-0.23,3,1,1,5
208,0.32,1,2,5,3
209,-0.46,9,2,3,2
210,0.32,6,1,3,2
211,-0.45,2,2,2,4
212,0.32,4,1,7,3
213,0.32,1,7,3,5
214,-0.45,4,5,2,4
215,0.22,1,5,1,3
216,-0.31,1,5,2,4
217,-0.44,3,2,7,4
218,-0.44,5,3,2,3
219,0.22,1,1,2,4
220,-0.44,5,4,3,3
221,0.44,3,2,4,3
222,-0.31,1,2,9,2
223,-0.44,3,5,3,3
224,-0.44,3,7,2,5
225,-0.31,4,4,1,2
226,-0.30,5,1,6,3
227,-0.43,2,3,3,3
228,-0.30,2,1,3,5
229,0.43,4,2,7,2
230,0.30,6,1,10,2
231,0.30,6,1,2,3
232,0.30,4,2,1,4
233,-0.30,9,2,1,2
234,0.42,3,4,2,5
235,-0.29,2,1,2,4
236,-0.40,3,7,3,5
237,0.28,7,1,2,4
238,0.28,1,2,2,3
239,-0.28,1,2,7,2
240,0.28,3,2,19,2
241,-0.28,3,1,5,3
242,0.20,3,1,19,2
243,-0.20,1,5,1,5
244,0.28,2,2,1,2
245,0.28,7,2,1,2
246,-0.39,3,4,5,4
247,-0.28,1,3,4,3
248,0.28,6,1,12,2
249,-0.28,3,5,1,3
250,0.28,3,1,10,3
251,-0.28,4,3,1,2
252,0.28,3,1,6,4
253,-0.39,4,4,2,5
254,-0.39,4,4,3,2
255,-0.27,3,1,5,4
256,-0.39,4,4,2,4
257,0.19,1,3,1,4
258,-0.27,3,7,1,4
259,0.27,6,1,18,2
260,-0.27,1,4,3,5
261,-0.27,5,1,8,3
262,-0.38,6,2,7,2
263,0.27,6,1,16,2
264,-0.27,6,1,3,4
265,0.38,2,5,3,2
266,0.27,3,6,1,2
267,0.38,8,2,3,3
268,0.37,2,2,2,5
269,0.26,3,1,8,4
270,-0.26,7,1,4,2
271,0.26,6,1,14,2
272,-0.13,1,1,19,2
273,0.37,5,2,7,3
274,0.37,7,2,3,2
275,-0.26,2,3,1,3
276,0.26,2,1,2,5
277,-0.26,1,3,7,3
278,0.26,3,7,1,3
279,0.26,6,1,3,3
280,-0.26,1,7,5,4
281,0.26,1,6,2,3
282,0.37,3,6,6,4
283,-0.26,2,7,1,4
284,0.26,1,4,7,4
285,0.36,2,2,4,2
286,-0.36,3,3,3,3
287,0.25,3,1,8,3
288,0.36,5,5,2,3
289,-0.36,3,4,7,4
290,0.25,3,1,12,3
291,0.18,1,4,1,3
292,-0.18,1,2,19,2
293,0.35,4,5,4,2
294,0.25,2,1,3,3
295,0.25,1,5,5,5
296,-0.35,4,5,3,2
297,0.25,1,2,7,3
298,-0.25,5,1,12,3
299,-0.17,9,1,1,2
300,0.17,1,1,2,5
301,-0.24,5,1,14,3
302,0.35,3,6,3,2
303,0.35,2,2,2,2
304,-0.35,2,5,2,2
305,0.34,4,2,5,2
306,0.17,1,4,1,2
307,-0.34,2,2,6,6
308,0.17,1,6,1,4
309,0.34,2,5,2,4
310,0.34,2,4,2,5
311,-0.17,1,1,8,5
312,0.24,3,1,14,3
313,-0.24,5,1,16,3
314,-0.17,7,1,1,4
315,0.24,5,1,8,2
316,-0.24,5,1,10,3
317,-0.33,7,2,2,2
318,0.24,1,4,3,3
319,0.33,3,2,5,5
320,-0.23,1,3,5,2
321,0.17,1,1,4,5
322,0.33,3,7,3,3
323,-0.23,5,1,18,3
324,0.33,2,3,3,2
325,0.23,3,1,18,3
326,-0.23,1,7,4,5
327,-0.23,10,2,1,2
328,-0.23,9,1,3,2
329,0.23,3,5,1,5
330,-0.32,6,2,9,2
331,0.23,3,1,16,3
332,-0.23,12,1,2,2
333,-0.23,3,1,7,4
334,-0.32,3,2,5,3
335,-0.16,1,7,1,3
336,0.32,9,2,3,3
337,0.32,3,3,4,3
338,-0.23,3,4,1,2
339,0.32,10,2,2,2
340,-0.32,4,2,6,3
341,-0.32,5,3,3,3
342,-0.23,6,2,1,3
343,0.32,3,2,8,4
344,-0.31,6,3,2,3
345,-0.22,3,1,9,4
346,-0.31,2,2,3,5
347,-0.31,10,2,3,2
348,0.22,5,2,1,5
349,-0.31,3,2,9,3
350,-0.15,1,5,1,2
351,0.22,6,4,1,2
352,0.15,1,1,5,2
353,0.22,9,2,1,3
354,0.31,6,4,3,2
355,0.22,1,4,7,5
356,0.15,5,1,1,5
357,0.31,2,6,2,3
358,0.21,4,2,1,5
359,0.30,13,2,3,2
360,0.21,1,2,9,4
361,-0.15,1,1,3,5
