number,Cwz,k,l,m,n
1,-25.19,1,2,2,1
2,27.94,3,2,2,1
3,9.84,1,1,1,1
4,-20.25,3,2,4,1
5,13.51,1,2,4,1
6,-6.80,1,1,5,1
7,11.75,4,2,4,1
8,7.89,1,3,2,1
9,-10.08,3,3,2,1
10,6.84,2,1,3,1
11,4.81,5,1,1,1
12,-6.45,4,1,3,1
13,-7.50,4,2,2,1
14,-4.71,1,3,4,1
15,-3.30,6,1,1,1
16,3.16,1,1,2,1
17,4.27,3,2,1,1
18,5.87,3,3,4,1
19,4.06,3,4,1,1
20,-2.86,1,4,1,1
21,-2.83,2,1,1,1
22,-5.59,2,4,5,1
23,3.91,6,1,3,1
24,3.83,1,2,10,1
25,5.19,2,4,3,1
26,5.18,4,3,2,1
27,-3.33,5,1,3,1
28,-4.66,3,4,3,1
29,3.28,1,4,5,1
30,-3.28,3,1,3,1
31,-4.53,3,2,6,1
32,-2.20,1,2,1,1
33,4.36,5,2,2,1
34,-4.29,3,5,5,1
35,2.87,1,2,8,1
36,-3.90,4,5,3,1
37,2.72,4,1,5,1
38,-3.84,4,3,4,1
39,-3.76,2,3,2,1
40,-1.84,8,1,1,1
41,-3.51,1,2,5,3
42,3.45,5,4,3,1
43,3.43,2,3,4,1
44,1.68,1,1,3,1
45,-3.32,6,2,2,1
46,-3.30,3,2,3,1
47,-3.28,3,1,5,2
48,3.20,1,2,6,3
49,2.23,4,1,7,1
50,-4.29,3,2,6,3
51,-2.12,3,1,2,1
52,2.94,3,3,5,1
53,-2.03,5,4,1,1
54,2.03,1,2,14,1
55,-1.43,9,1,1,1
56,2.03,1,4,2,1
57,-2.85,4,4,3,1
58,2.84,4,4,5,1
59,1.99,3,1,7,1
60,-1.39,1,1,7,1
61,-2.69,2,4,4,1
62,1.89,8,1,3,1
63,2.63,5,2,3,1
64,1.85,9,1,5,1
65,1.84,1,1,5,2
66,1.83,1,6,6,1
67,2.58,2,6,5,1
68,3.62,3,2,5,3
69,2.55,2,5,3,1
70,2.52,2,2,2,1
71,1.78,3,1,10,1
72,-1.77,5,1,5,1
73,1.77,4,5,1,1
74,-1.24,1,6,1,1
75,-1.76,1,6,4,1
76,-1.75,2,5,1,1
77,1.74,3,1,6,1
78,-2.44,3,2,10,1
79,-1.22,4,1,1,1
80,-1.21,1,1,6,1
81,1.70,1,1,6,3
82,-2.40,4,2,8,1
83,-1.70,2,3,1,1
84,-2.38,4,2,5,1
85,1.66,2,6,1,1
86,-1.66,4,1,2,1
87,-1.65,1,3,6,1
88,-2.26,2,6,6,1
89,2.26,3,5,7,1
90,-1.56,2,1,6,1
91,-1.10,1,1,8,1
92,-1.50,2,1,5,1
93,-2.10,5,4,5,1
94,2.10,4,1,5,3
95,-1.48,1,1,7,3
96,-2.10,2,1,5,3
97,1.48,2,1,2,1
98,-1.05,10,1,1,1
99,2.08,3,1,7,3
100,-2.05,3,1,6,3
101,-2.04,3,6,5,1
102,2.01,4,5,5,1
103,-2.00,2,4,2,1
104,-1.41,3,1,8,1
105,0.99,1,5,1,1
106,1.98,4,2,3,1
107,-1.97,2,5,6,1
108,-1.94,5,3,5,1
109,1.36,1,2,6,1
110,1.91,6,5,3,1
111,-0.95,1,1,9,1
112,-1.90,6,5,5,1
113,1.90,3,7,4,1
114,1.89,5,5,5,1
115,-0.95,11,1,1,1
116,-0.94,3,1,1,1
117,-1.31,1,1,7,2
118,-1.30,1,6,5,1
119,1.82,3,3,8,1
120,1.81,2,4,8,1
121,1.24,1,1,4,3
122,1.73,3,5,6,1
123,1.71,6,2,5,1
124,1.71,6,6,3,1
125,1.70,2,2,6,1
126,1.69,3,7,3,1
127,-1.20,5,2,1,1
128,-1.68,2,6,7,1
129,-1.18,1,2,3,1
130,2.35,3,2,4,2
131,1.16,1,5,5,1
132,1.64,2,6,8,1
133,1.63,1,5,5,3
134,1.14,5,1,8,1
135,-1.60,2,2,10,1
136,1.57,3,1,7,2
137,1.11,1,2,7,1
138,0.78,1,1,4,1
139,-1.56,3,7,6,1
140,-1.56,3,2,14,1
141,-1.10,1,1,8,3
142,-1.55,5,2,8,1
143,1.09,1,2,18,1
144,-1.54,3,1,4,3
145,-1.08,6,5,1,1
146,-0.76,1,1,11,1
147,1.52,5,3,3,1
148,-1.50,3,5,4,1
149,1.49,5,6,5,1
150,-1.05,2,1,4,1
151,-1.05,1,1,5,3
152,-1.48,1,2,4,2
153,-1.04,2,2,1,1
154,1.04,1,5,2,1
155,1.47,2,3,7,1
156,1.47,1,3,5,3
157,-1.44,6,6,5,1
158,1.02,1,4,4,1
159,-1.42,5,2,4,1
160,1.41,5,6,8,1
161,0.99,7,1,5,1
162,-1.99,3,5,5,3
163,0.99,2,1,8,1
164,-1.40,4,4,8,1
165,-0.98,1,3,3,1
166,-1.39,2,1,5,2
167,0.98,11,1,5,1
168,-1.39,4,2,6,1
169,-0.98,6,1,5,1
170,-1.96,4,2,4,3
171,1.37,4,4,4,1
172,-1.36,2,6,3,1
173,-0.96,1,5,7,1
174,-1.35,3,3,7,1
175,-1.90,3,3,5,3
176,-1.34,4,6,3,1
177,1.32,5,1,5,2
178,0.93,1,1,8,2
179,0.92,4,2,1,1
180,-1.30,4,2,12,1
181,1.30,2,6,4,1
182,1.29,3,6,3,1
183,1.29,3,6,4,1
184,1.28,2,1,7,3
185,0.90,10,1,5,1
186,-0.64,1,1,10,1
187,0.90,2,7,1,1
188,-0.89,1,4,6,1
189,-1.25,6,2,3,1
190,-0.88,3,1,12,1
191,0.88,1,6,3,1
192,1.25,6,3,2,1
193,-1.24,2,2,8,1
194,0.88,3,1,14,1
195,1.23,4,3,3,1
196,-0.86,1,5,8,1
197,-0.86,1,4,8,1
198,0.85,1,6,7,1
199,-1.19,2,6,10,1
200,-0.83,2,1,7,1
201,0.83,4,3,1,1
202,1.17,3,1,5,3
203,1.16,3,4,5,1
204,-1.16,1,2,7,2
205,1.15,3,1,8,3
206,-1.15,3,6,8,1
207,1.15,2,4,6,1
208,-1.62,5,2,4,2
209,-0.81,1,3,12,1
210,0.81,4,1,8,1
211,-0.80,1,7,3,1
212,-0.80,1,3,8,1
213,0.80,6,4,1,1
214,-0.80,1,6,8,1
215,0.80,4,1,9,1
216,1.12,4,2,10,1
217,-1.58,2,2,3,3
218,0.78,1,7,10,1
219,-0.78,1,4,3,1
220,-1.09,1,3,6,3
221,0.76,4,1,6,1
222,-0.76,1,1,3,2
223,-1.06,5,1,5,3
224,-1.49,3,2,3,2
225,-0.73,3,7,1,1
226,-1.03,6,6,8,1
227,0.52,1,3,1,1
228,1.45,3,3,6,3
229,-0.51,1,1,15,1
230,-0.72,1,1,4,2
231,0.72,1,2,5,1
232,1.02,3,2,8,1
233,0.72,1,6,10,1
234,-0.72,6,6,1,1
235,0.71,10,1,3,1
236,-1.00,8,2,4,1
237,-1.00,5,7,4,1
238,-1.00,3,3,3,1
239,0.99,6,2,6,1
240,0.99,6,2,4,1
241,0.98,2,5,8,1
242,0.98,6,2,8,1
243,0.97,4,1,5,2
244,-0.68,4,1,4,1
245,-0.68,1,1,4,5
246,0.96,1,6,7,2
247,-0.96,5,5,7,1
248,1.35,4,2,5,2
249,1.35,2,2,4,3
250,-0.96,4,1,4,2
251,0.95,1,2,8,2
252,0.95,3,6,7,1
253,-0.95,6,3,6,1
254,0.66,8,1,5,1
255,-0.47,1,1,13,1
256,-0.66,5,1,2,1
257,1.32,4,2,3,3
258,-0.65,10,1,7,1
259,0.91,2,6,12,1
260,0.91,4,1,8,2
261,0.64,1,3,7,1
262,0.45,1,1,1,2
263,-0.89,2,7,4,1
264,-0.89,9,2,4,1
265,-0.88,5,5,6,1
266,0.88,1,2,3,2
267,0.62,8,4,1,1
268,0.88,2,5,4,1
269,-0.88,5,3,8,1
270,-0.87,2,2,14,1
271,0.61,4,1,11,1
272,0.86,5,6,12,1
273,-0.86,4,5,2,1
274,-0.86,5,6,3,1
275,-0.85,2,5,7,1
276,-0.42,1,1,14,1
277,-0.60,5,1,4,1
278,-0.42,1,1,17,1
279,-0.59,3,6,1,1
280,-0.84,1,5,6,3
281,-0.83,4,3,7,1
282,0.59,2,1,12,1
283,-1.16,4,2,6,2
284,0.82,9,1,5,3
285,0.82,3,5,3,1
286,0.82,6,5,7,1
287,-0.81,7,2,4,1
288,1.13,4,2,8,3
289,-0.80,1,3,5,2
290,-0.80,9,5,3,1
291,0.80,3,7,2,1
292,0.79,2,2,3,1
293,0.56,1,7,7,1
294,0.56,3,1,9,1
295,-0.78,5,2,12,1
296,0.78,1,3,4,2
297,0.55,5,1,12,1
298,-0.78,2,1,6,3
299,-0.77,5,2,5,1
300,-0.55,7,2,1,1
301,0.77,6,3,5,1
302,0.77,1,2,5,5
303,-0.77,6,3,3,1
304,-0.76,5,6,10,1
305,-1.07,3,6,7,2
306,-0.38,7,1,1,1
307,-0.37,1,7,1,1
308,0.74,3,3,12,1
309,-0.52,8,1,7,1
310,1.05,5,2,6,3
311,-1.04,3,6,8,3
312,-0.73,5,7,3,1
313,0.52,9,5,1,1
314,-0.73,3,2,18,1
315,-0.73,6,3,4,1
316,-0.73,2,6,14,1
317,-0.51,1,6,12,1
318,0.73,4,7,6,1
319,-0.51,1,3,5,1
320,0.72,5,3,4,1
321,-0.72,6,1,3,3
322,-0.72,5,6,4,1
323,1.02,3,3,5,2
324,-0.71,10,2,4,1
325,-0.71,5,6,6,1
326,0.50,4,1,12,1
327,-0.71,1,4,4,5
328,1.00,3,2,7,2
329,1.00,4,3,6,2
330,-0.70,4,1,7,3
331,0.69,3,3,6,1
332,0.49,3,1,5,1
333,0.34,1,1,1,3
334,-0.68,4,3,8,1
335,0.68,5,1,3,2
336,0.68,2,4,7,1
337,-0.48,9,1,7,1
338,0.48,1,2,16,1
339,-0.95,3,2,8,2
340,-0.47,2,1,9,1
341,0.67,2,7,8,1
342,0.47,3,3,1,1
343,0.66,7,6,5,1
344,0.66,6,6,6,1
345,-0.46,1,5,3,1
346,-0.66,3,4,2,1
347,0.65,1,5,6,2
348,-0.65,2,7,10,1
349,-0.32,12,1,1,1
350,0.65,1,6,5,3
351,0.64,2,5,5,1
352,0.64,2,1,3,2
353,-0.64,4,2,16,1
354,-0.64,1,3,8,2
355,-0.64,8,2,3,1
356,-0.45,2,1,11,1
357,-0.89,3,6,5,3
358,0.63,7,2,6,1
359,-0.44,15,1,3,1
360,0.88,2,2,5,3
361,-0.62,6,4,6,1
362,0.44,1,3,10,1
363,0.62,4,1,6,3
364,0.62,1,6,8,3
365,0.62,2,7,12,1
366,-0.43,11,1,7,1
367,0.61,1,2,7,3
368,-0.61,3,7,8,1
369,-0.86,3,3,4,2
370,0.61,3,1,4,2
371,-0.61,1,2,12,3
372,-0.61,3,6,12,1
373,-0.61,3,2,7,1
374,0.86,6,2,6,3
375,0.61,2,4,10,1
376,-0.21,1,1,19,1
377,0.61,3,4,4,1
378,0.43,1,7,14,1
379,0.60,3,1,10,3
380,-0.60,6,1,7,2
381,0.43,1,1,13,3
382,0.60,6,2,12,1
383,0.60,3,5,9,1
384,-0.60,1,5,3,3
385,0.60,8,1,5,3
386,0.83,5,2,8,2
387,-0.59,4,2,1,3
388,0.59,1,2,11,3
389,-0.59,7,3,5,1
390,0.42,4,1,13,1
391,-0.82,4,2,5,3
392,-0.58,3,5,2,1
393,0.58,1,2,3,3
394,0.58,5,5,4,1
395,0.41,1,5,4,1
396,-0.58,3,1,3,5
397,-0.58,2,7,7,1
398,0.58,6,1,5,2
399,0.41,1,1,17,3
400,0.41,4,6,1,1
401,-0.40,12,1,7,1
402,0.57,1,3,6,2
403,0.57,5,4,2,1
404,-0.40,1,3,16,1
405,0.57,4,6,10,1
406,0.57,2,1,5,4
407,-0.80,4,6,5,2
408,-0.56,1,4,6,4
409,-0.40,1,7,8,1
410,0.40,1,1,8,4
411,-0.40,5,1,6,1
412,0.39,7,5,1,1
413,0.56,7,5,5,1
414,-0.39,7,1,7,1
415,0.55,4,5,6,1
416,-0.55,4,1,6,2
417,-0.39,1,7,12,1
418,-0.39,1,1,12,3
419,-0.27,13,1,1,1
420,0.55,2,2,1,3
421,-0.54,7,1,3,3
422,-0.54,5,6,7,1
423,-0.38,6,1,8,1
424,0.38,1,1,9,3
425,-0.54,1,2,2,3
426,0.54,7,3,6,1
427,-0.54,3,1,11,3
428,0.76,3,5,6,3
429,-0.53,6,6,12,1
430,-0.37,7,1,6,1
431,0.37,1,6,14,1
432,-0.53,4,1,3,2
433,-0.53,1,4,5,2
434,-0.53,6,5,8,1
435,0.53,3,1,4,5
436,0.52,3,2,5,1
437,0.52,7,4,3,1
438,0.74,3,4,4,5
439,-0.37,1,7,4,1
440,-0.37,1,1,14,3
441,-0.52,5,2,16,1
442,-0.37,1,7,2,1
443,-0.52,1,6,7,5
444,0.73,3,2,2,3
445,0.37,1,2,13,1
446,-0.52,6,1,5,4
447,0.37,1,1,7,4
448,-0.52,9,2,5,1
449,-0.26,1,1,18,1
450,-0.73,3,2,9,3
451,0.51,9,5,5,1
452,-0.73,6,2,5,3
453,0.36,5,7,1,1
454,0.36,4,1,17,1
455,-0.51,2,1,4,4
456,-0.51,4,3,9,1
457,-0.51,3,1,15,3
458,-0.36,1,4,12,1
459,0.51,7,3,3,1
460,0.51,3,1,3,2
461,0.51,6,6,10,1
462,-0.36,3,1,16,1
463,-0.50,3,3,9,1
